publishedAt,title,tags,channelTitle,viewCount,likeCount,dislikeCount,favoriteCount,commentCount
2021-06-20,確診.死亡數持續下滑 各縣市陸續出現＋0! 陳時中坦言“不會解封” 將滾動式調整低風險場域  解隔離前將恢復全面篩檢？！│記者 張昱傑 李文勝 許慧美│【LIVE大現場】20210620│三立新聞台,"['三立新聞', '最新消息', 'LIVE', '三立iNEWS', '三立', '新聞', '直播', '網路直播', '最新', '即時', '新聞快訊', '蔡英文', '習近平', '蘇貞昌', '韓國瑜', '馬英九', '江啟臣', '柯文哲', 'Z疫苗', '高端', '莫德納', 'BNT', '嬌生', '科興', '武漢肺炎', '新冠肺炎', 'covid-19', '疫情', '隔離', '解封', '死亡率', '確診數', '印度株']",三立LIVE新聞,7456,40,12,0,17
2021-06-20,想換錢卻GG了?! 洗錢越洗越黑竟成黑錢..物理老師解惑漂白水+金屬化學反應釀...建議消毒還是用酒精就好│記者 鍾帛均 張展誌│【LIVE大現場】20210620│三立新聞台,"['三立新聞', '最新消息', 'LIVE', '三立iNEWS', '三立', '新聞', '直播', '網路直播', '最新', '即時', '新聞快訊', '蔡英文', '習近平', '蘇貞昌', '韓國瑜', '馬英九', '江啟臣', '柯文哲', '換錢', '洗錢', '黑錢', '物理老師']",三立LIVE新聞,4362,9,3,0,9
2021-06-20,疫情還看不到盡頭駕駛只剩基本薪! 國光客運減班50%! 北高30班次砍到剩8班│記者 蔡文淵 廖宜德│【LIVE大現場】20210620│三立新聞台,"['三立新聞', '最新消息', 'LIVE', '三立iNEWS', '三立', '新聞', '直播', '網路直播', '最新', '即時', '新聞快訊', '蔡英文', '習近平', '蘇貞昌', '韓國瑜', '馬英九', '江啟臣', '柯文哲', '基本薪', '國光客運', '北高']",三立LIVE新聞,2150,17,3,0,4
2021-06-20,"這下糗大了! 搶匪拿假鈔付款遭識破惱羞持刀搶按摩女 女子不甩疫情刊登""色情廣告""吸客遭開單│記者 凌毓鈞 顧元松│【LIVE大現場】20210620│三立新聞台","['三立新聞', '最新消息', 'LIVE', '三立iNEWS', '三立', '新聞', '直播', '網路直播', '最新', '即時', '新聞快訊', '蔡英文', '習近平', '蘇貞昌', '韓國瑜', '馬英九', '江啟臣', '柯文哲', '搶匪', '假鈔付款', '惱羞', '色情廣告']",三立LIVE新聞,7059,39,7,0,13
2021-06-20,"""歌壇天后""也打好疫苗了? !桃園接種站現場廣播喊""張惠妹打好疫苗了"" 眾人轉頭見同名引熱議! │記者羅珮瑜│【LIVE大現場】20210620│三立新聞台","['三立新聞', '最新消息', 'LIVE', '三立iNEWS', '三立', '新聞', '直播', '網路直播', '最新', '即時', '新聞快訊', '蔡英文', '習近平', '蘇貞昌', '韓國瑜', '馬英九', '江啟臣', '柯文哲', '阿妹', '張惠妹', '同名', '廣播', '桃園', '接種站', '打疫苗']",三立LIVE新聞,9173,36,5,0,0
2021-06-20,"梅雨鋒面回來雨神發威 ! 曝雨區往北擴大 苗栗以南""10縣市""留意豪大雨特報│氣象主播 黃家緯│【三立準氣象】20210620│三立新聞台","['三立新聞', '最新消息', 'LIVE', '三立iNEWS', '三立', '新聞', '直播', '網路直播', '最新', '即時', '新聞快訊', '蔡英文', '習近平', '蘇貞昌', '韓國瑜', '馬英九', '江啟臣', '柯文哲', '梅雨鋒面', '雨神', '雨區', '苗栗以南', '豪大雨']",三立LIVE新聞,22019,166,14,0,11
2021-06-20,真朋友! 美贈台250萬劑疫苗共12貨盤 16:32抵台現場  陳時中與AIT處長酈英傑親自接機 |【直播回放】 20210620 | 三立新聞台,"['三立新聞', '最新消息', 'LIVE', '三立iNEWS', '三立', '新聞', '直播', '網路直播', '最新', '即時', '新聞快訊', '蔡英文', '習近平', '蘇貞昌', '韓國瑜', '馬英九', '江啟臣', '柯文哲', '美國', '莫德納', '疫苗', '桃園機場', '機場', '陳時中', '接機', 'AIT']",三立LIVE新聞,145005,2135,105,0,278
2021-06-20,"#三立最新  美捐250萬劑莫德納疫苗順利抵台！指揮官陳時中戴""感謝美國""口罩與AIT處長酈英傑接機  曝65-74歲長者可望打得到│【LIVE大現場】20210620│三立新聞台","['三立新聞', '最新消息', 'LIVE', '三立iNEWS', '三立', '新聞', '直播', '網路直播', '最新', '即時', '新聞快訊', '蔡英文', '習近平', '蘇貞昌', '韓國瑜', '馬英九', '江啟臣', '柯文哲', '莫德納', '疫苗', '指揮官', '陳時中', '感謝美國', '口罩', 'AIT處']",三立LIVE新聞,39287,824,179,0,388
2021-06-20,蔡英文總統:患難見真情 日本.美國暖心相助疫苗接力抵台灣  疫苗假訊息頻傳 總統:病毒才是敵人 | 【直播回放】20210620 | 三立新聞台,"['三立新聞', '最新消息', 'LIVE', '三立iNEWS', '三立', '新聞', '直播', '網路直播', '最新', '即時', '新聞快訊', '蔡英文', '習近平', '蘇貞昌', '韓國瑜', '馬英九', '江啟臣', '柯文哲', '防疫', '美國', 'AIT', '疫苗', '總統', '日本']",三立LIVE新聞,13016,543,73,0,126
2021-06-20,#三立最新  及時雨到來! 美國送的250萬劑莫德納抵台 孕婦考量列施打名單│【LIVE大現場】20210620│三立新聞台,"['三立新聞', '最新消息', 'LIVE', '三立iNEWS', '三立', '新聞', '直播', '網路直播', '最新', '即時', '新聞快訊', '蔡英文', '習近平', '蘇貞昌', '韓國瑜', '馬英九', '江啟臣', '柯文哲', '美國', '莫德納.長榮', '華航', '最速件', '莫德納']",三立LIVE新聞,22420,271,41,0,100
